순번,제품유형,값,CellBarcode,저장번호,실제저장번호
1,CU,,Test_2025_01_16_7517,Test#A1-0000001,
2,AL-A 1200,194,Test_2025_01_16_7628,Test#A2-0000002,
3,CU 500,164,Test_2025_01_16_7524,Test#A3-0000003,
4,CU 500,166,Test_2025_01_16_7522,Test#A4-0000004,
5,AL A 1000,110,Test_2025_01_16_7718,Test#A5-0000005,
6,SCRAP,122,Test_2025_01_16_7665,Test#A6-0000006,
7,AL A 1200,180,Test_2025_01_16_7635,Test#A7-0000007,
8,AL A 1200,196,Test_2025_01_16_7632,Test#A8-0000008,
9,SUS500,150,Test_2025_01_16_7541,Test#A1-0000009,Test#A1-0000017-11
10,SCRAP,125,Test_2025_01_16_7661,Test#A2-0000010,Test#A2-0000018-11
11,AL A 1200,181,Test_2025_01_16_7636,Test#A3-0000011,Test#A3-0000019-11
12,CU500,101,Test_2025_01_16_7755,Test#A4-0000012,Test#A4-0000020-11
13,AL A 1000,264,Test_2025_01_16_7717,Test#A5-0000013,Test#A5-0000021-14
14,AL A 1000,262,Test_2025_01_16_7604,Test#A6-0000014,Test#A6-0000022-14
15,AL A 1000,204,Test_2025_01_16_7610,Test#A7-0000015,Test#A7-0000023-14
16,AL B 1000,148,Test_2025_01_16_7545,Test#A8-0000016,Test#A8-0000024-14
17,AL A 1000,263,Test_2025_01_16_7714,Test#A1-0000017,
18,SCRAP,5,Test_2025_01_16_7700,Test#A2-0000018,
19,SCRAP,15,Test_2025_01_16_7689,Test#A3-0000019,
20,SUS 400,247,Test_2025_01_16_7739,Test#A4-0000020,
21,SUS 400,251,Test_2025_01_16_7528,Test#A5-0000021,
22,SUS 400,159,Test_2025_01_16_7532,Test#A6-0000022,
23,SUS 400,63,Test_2025_01_16_7749,Test#A7-0000023,
24,SUS 400,51,Test_2025_01_16_7736,Test#A8-0000024,
25,SUS 400,55,Test_2025_01_16_7742,Test#A1-0000025,
26,SCRAP,237,Test_2025_01_16_7696,Test#A2-0000026,
27,AL B 1000,145,Test_2025_01_16_7551,Test#A3-0000027,
28,SCRAP,107,Test_2025_01_16_7701,Test#A4-0000028,
29,SCRAP,114,Test_2025_01_16_7676,Test#A5-0000029,
30,SCRAP,106,Test_2025_01_16_7675,Test#A6-0000030,
31,SUS 400,160,Test_2025_01_16_7531,Test#A7-0000031,
32,SUS,?,Test_2025_01_16_7747,Test#A8-0000032,
33,CU 400,89,Test_2025_01_16_7772,Test#A1-0000033,
34,CU 500,98,Test_2025_01_16_7752,Test#A2-0000034,
35,CU 500,97,Test_2025_01_16_7765,Test#A3-0000035,
36,CU 400,81,Test_2025_01_16_7781,Test#A4-0000036,
37,SCRAP,21,Test_2025_01_16_7679,Test#A5-0000037,
38,AL B 1200,138,Test_2025_01_16_7557,Test#A6-0000038,
39,CU 500,90,Test_2025_01_16_7760,Test#A7-0000039,
40,CU 400,87,Test_2025_01_16_7770,Test#A8-0000040,
41,SCRAP,124,Test_2025_01_16_7663,Test#A1-0000041,
42,AL A 1200,190,Test_2025_01_16_7626,Test#A2-0000042,
43,SCRAP,2,Test_2025_01_16_7705,Test#A3-0000043,
44,AL A 1000,48,Test_2025_01_16_7711,Test#A4-0000044,
45,SCRAP,24,Test_2025_01_16_7674,Test#A5-0000045,
46,AL A 1200,176,Test_2025_01_16_7640,Test#A6-0000046,
47,AL B 1200,129,Test_2025_01_16_7567,Test#A7-0000047,
48,SCRAP,13,Test_2025_01_16_7697,Test#A8-0000048,
49,AL A 1200,188,Test_2025_01_16_7625,Test#A1-0000049,Test#A1-0000057-6
50,AL A 1000,201,Test_2025_01_16_7613,Test#A2-0000050,Test#A2-0000058-6
51,SCRAP,11,Test_2025_01_16_7694,Test#A3-0000051,Test#A3-0000059-6
52,CU 400,256,Test_2025_01_16_7511,Test#A4-0000052,Test#A4-0000060-6
53,AL A 1200,182,Test_2025_01_16_7633,Test#A5-0000053,Test#A5-0000061-3
54,CU 500,94,Test_2025_01_16_7764,Test#A6-0000054,Test#A6-0000062-3
55,SCRAP,3,Test_2025_01_16_7702,Test#A7-0000055,Test#A7-0000063-3
56,SCRAP,185,Test_2025_01_16_7588,Test#A8-0000056,Test#A8-0000064-3
57,CU 400,81,Test_2025_01_16_7782,Test#A1-0000057,
58,AL A 1000,202,Test_2025_01_16_7612,Test#A2-0000058,
59,AL A,119,Test_2025_01_16_7712,Test#A3-0000059,
60,SCRAP,16,Test_2025_01_16_7686,Test#A4-0000060,
61,SCRAP,186,Test_2025_01_16_7589,Test#A5-0000061,
62,SCRAP,184,Test_2025_01_16_7602,Test#A6-0000062,
63,CU,162,Test_2025_01_16_7526,Test#A7-0000063,
64,SUS,45,Test_2025_01_16_7729,Test#A8-0000064,
65,SUS 400,161,Test_2025_01_16_7530,Test#A1-0000065,
66,SUS 500,41,Test_2025_01_16_7735,Test#A2-0000066,
67,AL B 1000,109,Test_2025_01_16_7548,Test#A3-0000067,
68,AL A 1200,189,Test_2025_01_16_7618,Test#A4-0000068,
69,SUS 400,249,Test_2025_01_16_7740,Test#A5-0000069,
70,SCRAP,183,Test_2025_01_16_7594,Test#A6-0000070,
71,AL A?,?,Test_2025_01_16_7708,Test#A7-0000071,
72,CU 500,105,Test_2025_01_16_7759,Test#A8-0000072,
73,CU,92,Test_2025_01_16_7762,Test#A1-0000073,
74,AL A 1200,195,Test_2025_01_16_7630,Test#A2-0000074,
75,AL B 1200,132,Test_2025_01_16_7564,Test#A3-0000075,
76,AL B 1200,136,Test_2025_01_16_7560,Test#A4-0000076,
77,SCRAP,31,Test_2025_01_16_7668,Test#A5-0000077,
78,SCRAP,25,Test_2025_01_16_7672,Test#A6-0000078,
79,CU,99,Test_2025_01_16_7753,Test#A7-0000079,
80,AL A,58,Test_2025_01_16_7709,Test#A8-0000080,
81,SCRAP,12,Test_2025_01_16_7691,Test#A1-0000081,
82,AL B 1200,137,Test_2025_01_16_7559,Test#A2-0000082,
83,SUS 500,155,Test_2025_01_16_7537,Test#A3-0000083,
84,SUS,46,Test_2025_01_16_7730,Test#A4-0000084,
85,SUS 500,35,Test_2025_01_16_7723,Test#A5-0000085,
86,CU 500,95,Test_2025_01_16_7767,Test#A6-0000086,
87,AL B 1200,131,Test_2025_01_16_7565,Test#A7-0000087,
88,AL B,140,Test_2025_01_16_7556,Test#A8-0000088,
89,AL A,57,Test_2025_01_16_7716,Test#A1-0000089,
90,SCRAP,28,Test_2025_01_16_7670,Test#A2-0000090,
91,SCRAP,26,Test_2025_01_16_7673,Test#A3-0000091,
92,CU,86,Test_2025_01_16_7769,Test#A4-0000092,
93,CU,85,Test_2025_01_16_7768,Test#A5-0000093,
94,SCRAP,27,Test_2025_01_16_7671,Test#A6-0000094,
95,SCRAP,19,Test_2025_01_16_7684,Test#A7-0000095,
96,SCRAP,224,Test_2025_01_16_7591,Test#A8-0000096,
97,SCRAP,17,Test_2025_01_16_7685,Test#A1-0000097,
98,CU,88,Test_2025_01_16_7771,Test#A2-0000098,
99,AL A,56,Test_2025_01_16_7710,Test#A3-0000099,
100,CU,254,Test_2025_01_16_7777,Test#A4-0000100,
101,CU,96,Test_2025_01_16_7766,Test#A5-0000101,
102,AL A,223,Test_2025_01_16_7621,Test#A6-0000102,
103,CU,93,Test_2025_01_16_7763,Test#A7-0000103,
104,AL A,207,Test_2025_01_16_7614,Test#A8-0000104,
105,SCRAP,215,Test_2025_01_16_7599,Test#A1-0000105,Test#A1-0000113-4
106,AL A,222,Test_2025_01_16_7622,Test#A2-0000106,Test#A2-0000114-4
107,CU,83,Test_2025_01_16_7780,Test#A3-0000107,Test#A3-0000115-4
108,AL A,192,Test_2025_01_16_7616,Test#A4-0000108,Test#A4-0000116-4
109,SCRAP,227,Test_2025_01_16_7586,Test#A5-0000109,Test#A5-0000117-2
110,AL A,193,Test_2025_01_16_7615,Test#A6-0000110,Test#A6-0000118-2
111,SCRAP,213,Test_2025_01_16_7598,Test#A7-0000111,Test#A7-0000119-2
112,SCRAP,211,Test_2025_01_16_7596,Test#A8-0000112,Test#A8-0000120-2
113,CU,104,Test_2025_01_16_7758,Test#A1-0000113,
114,CU,165,Test_2025_01_16_7523,Test#A2-0000114,
115,CU,100,Test_2025_01_16_7754,Test#A3-0000115,
116,CU,169,Test_2025_01_16_7519,Test#A4-0000116,
117,AL B,143,Test_2025_01_16_7553,Test#A5-0000117,
118,AL B,135,Test_2025_01_16_7561,Test#A6-0000118,
119,AL A,177,Test_2025_01_16_7637,Test#A7-0000119,
120,CU,102,Test_2025_01_16_7756,Test#A8-0000120,
121,AL B,130,Test_2025_01_16_7566,Test#A1-0000121,
122,AL A,187,Test_2025_01_16_7619,Test#A2-0000122,
123,SUS 500,39,Test_2025_01_16_7725,Test#A3-0000123,
124,AL A,198,Test_2025_01_16_7629,Test#A4-0000124,
125,AL A,199,Test_2025_01_16_7631,Test#A5-0000125,
126,AL B,128,Test_2025_01_16_7568,Test#A6-0000126,
127,SUS,152,Test_2025_01_16_7540,Test#A7-0000127,
128,CU,167,Test_2025_01_16_7521,Test#A8-0000128,
129,AL B,141,Test_2025_01_16_7552,Test#A1-0000129,Test#A1-0000137-6
130,AL A,203,Test_2025_01_16_7611,Test#A2-0000130,Test#A2-0000138-6
131,SCRAP,214,Test_2025_01_16_7592,Test#A3-0000131,Test#A3-0000139-6
132,SCRAP,226,Test_2025_01_16_7587,Test#A4-0000132,Test#A4-0000140-6
133,AL A,200,Test_2025_01_16_7627,Test#A5-0000133,Test#A5-0000141-3
134,SCRAP,14,Test_2025_01_16_7687,Test#A6-0000134,Test#A6-0000142-3
135,AL B,134,Test_2025_01_16_7562,Test#A7-0000135,Test#A7-0000143-3
136,AL B,,Test_2025_01_16_7555,Test#A8-0000136,Test#A8-0000144-3
137,SCRAP,6,Test_2025_01_16_7695,Test#A1-0000137,
138,AL A,220,Test_2025_01_16_7617,Test#A2-0000138,
139,SCRAP,?,Test_2025_01_16_7597,Test#A3-0000139,
140,AL A,219,Test_2025_01_16_7620,Test#A4-0000140,
141,AL A,221,Test_2025_01_16_7624,Test#A5-0000141,
142,SCRAP,29,Test_2025_01_16_7667,Test#A6-0000142,
143,AL A,191,Test_2025_01_16_7623,Test#A7-0000143,
144,SCRAP,228,Test_2025_01_16_7585,Test#A8-0000144,
145,AL A,205,Test_2025_01_16_7609,Test#A1-0000145,
146,AL A,209,Test_2025_01_16_7605,Test#A2-0000146,
147,AL B,133,Test_2025_01_16_7563,Test#A3-0000147,
148,SCRAP,216,Test_2025_01_16_7595,Test#A4-0000148,
149,SCRAP,229,Test_2025_01_16_7583,Test#A5-0000149,
150,AL A,267,Test_2025_01_16_7608,Test#A6-0000150,
151,SCRAP,115,Test_2025_01_16_7662,Test#A7-0000151,
152,SCRAP,236,Test_2025_01_16_7692,Test#A8-0000152,
