barcode,cell
7780,83
7779,84
7777,254
7782,81
7768,85
7769,86
7771,88
7774,260
7515,173
7514,174
7511,256
7762,92
7763,93
7766,96
7764,94
7754,100
7756,102
7758,104
7753,99
7523,165
7521,167
7519,169
7526,162
7749,63
7748,245
7744,246
7745,59
7736,51
7743,53
7740,249
7741,54
7533,158
7532,159
7531,160
7530,161
7729,45
7730,46
7728,47
7735,41
7720,32
7721,33
7726,36
7722,34
7542,149
7535,151
7540,152
7538,154
7710,56
7716,57
7709,58
7712,119
7711,48
7707,49
7614,207
7607,210
7613,201
7612,202
7611,203
7553,143
7548,109
7550,120
7552,141
7629,198
7631,199
7627,200
7638,175
7640,176
7637,177
7615,193
7622,222
7621,223
7619,187
7625,188
7618,189
7568,128
7561,135
7556,140
7567,129
7566,130
7565,131
7705,2
7702,3
7700,5
7694,11
7691,12
7697,13
7689,15
7688,112
7685,17
7686,16
7683,18
7684,19
7588,185
7589,186
7591,224
7584,225
7587,226
7586,227
7594,183
7602,184
7596,211
7598,213
7592,214
7599,215
7673,26
7670,28
7668,31
7674,24
7672,25
7671,27
