cell,material
2,SCRAP6
3,SCRAP6
4,SCRAP6
5,SCRAP6
6,SCRAP6
7,SCRAP6
8,SCRAP6
11,SCRAP6
12,SCRAP6
13,SCRAP6
14,SCRAP6
15,SCRAP6
16,SCRAP6
17,SCRAP6
18,SCRAP6
19,SCRAP6
20,SCRAP6
21,SCRAP6
22,SCRAP6
23,SCRAP6
24,SCRAP7
25,SCRAP7
26,SCRAP7
27,SCRAP7
28,SCRAP7
29,SCRAP7
30,SCRAP7
31,SCRAP7
32,SUS500
33,SUS500
34,SUS500
35,SUS500
36,SUS500
37,SUS500
38,SUS500
39,SUS500
40,SUS500
41,SUS500
42,SUS500
43,SUS500
44,SUS500
45,SUS500
46,SUS500
47,SUS500
48,AL_A_1000
49,AL_A_1000
50,AL_A_1000
51,SUS400
52,SUS400
53,SUS400
54,SUS400
55,SUS400
56,AL_A_1000
57,AL_A_1000
58,AL_A_1000
59,SUS400
60,SUS400
61,SUS400
62,SUS400
63,SUS400
80,CU400
81,CU400
82,CU400
83,CU400
84,CU400
85,CU400
86,CU400
87,CU400
88,CU400
89,CU400
90,CU500
91,CU500
92,CU500
93,CU500
94,CU500
95,CU500
96,CU500
97,CU500
98,CU500
99,CU500
100,CU500
101,CU500
102,CU500
103,CU500
104,CU500
105,CU500
106,SCRAP6
107,SCRAP6
108,SCRAP6
109,AL_B_1000
110,AL_A_1000
111,SCRAP6
112,SCRAP6
113,SCRAP6
114,SCRAP6
115,SCRAP7
117,AL_A_1000
119,AL_A_1000
120,AL_B_1000
122,SCRAP7
124,SCRAP7
125,SCRAP7
126,SCRAP7
127,AL_A_1000
128,AL_B_1200
129,AL_B_1200
130,AL_B_1200
131,AL_B_1200
132,AL_B_1200
133,AL_B_1200
134,AL_B_1200
135,AL_B_1200
136,AL_B_1200
137,AL_B_1200
138,AL_B_1200
139,AL_B_1200
140,AL_B_1200
141,AL_B_1000
142,AL_B_1000
143,AL_B_1000
144,AL_B_1000
145,AL_B_1000
146,AL_B_1000
147,AL_B_1000
148,AL_B_1000
149,SUS500
150,SUS500
151,SUS500
152,SUS500
153,SUS500
154,SUS500
155,SUS500
156,SUS500
157,SUS400
158,SUS400
159,SUS400
160,SUS400
161,SUS400
162,CU500
163,CU500
164,CU500
165,CU500
166,CU500
167,CU500
168,CU500
169,CU500
170,CU400
171,CU400
172,CU400
173,CU400
174,CU400
175,AL_A_1200
176,AL_A_1200
177,AL_A_1200
178,AL_A_1200
179,AL_A_1200
180,AL_A_1200
181,AL_A_1200
182,AL_A_1200
183,SCRAP7
184,SCRAP7
185,SCRAP7
186,SCRAP7
187,AL_A_1200
188,AL_A_1200
189,AL_A_1200
190,AL_A_1200
191,AL_A_1200
192,AL_A_1200
193,AL_A_1200
194,AL_A_1200
195,AL_A_1200
196,AL_A_1200
198,AL_A_1200
199,AL_A_1200
200,AL_A_1200
201,AL_A_1000
202,AL_A_1000
203,AL_A_1000
204,AL_A_1000
205,AL_A_1000
206,AL_A_1000
207,AL_A_1000
208,AL_A_1000
209,AL_A_1000
210,AL_A_1000
211,SCRAP7
213,SCRAP7
214,SCRAP7
215,SCRAP7
216,SCRAP7
217,SCRAP7
218,SCRAP7
219,AL_A_1200
220,AL_A_1200
221,AL_A_1200
222,AL_A_1200
223,AL_A_1200
224,SCRAP7
225,SCRAP7
226,SCRAP7
227,SCRAP7
228,SCRAP7
229,SCRAP7
230,SCRAP7
231,SCRAP7
235,SCRAP6
236,SCRAP6
237,SCRAP6
244,SUS400
245,SUS400
246,SUS400
247,SUS400
248,SUS400
249,SUS400
250,SUS400
251,SUS400
252,SUS400
253,CU400
254,CU400
255,CU400
256,CU400
257,CU400
258,CU400
259,CU400
260,CU400
261,CU400
262,AL_A_1000
263,AL_A_1000
264,AL_A_1000
265,AL_A_1000
266,AL_A_1000
267,AL_A_1000
268,AL_B_1000
269,AL_B_1000
270,AL_B_1000
271,SCRAP6
272,SCRAP6
273,SCRAP6
