No,cell_barcode,barcode,cell,A열_저장번호,A열_이물정보,B열_저장번호,B열_이물정보,match_status
1,Test_2025_01_16_7517,7517,171,Test#A1-0000001,CU/BALL/400/BC1C2,Test#B1-0000001,CU/BALL/400/BC1C2,OK
2,Test_2025_01_16_7628,7628,194,Test#A2-0000002,AL/BALL/1200/A2C1,Test#B2-0000002,AL/BALL/1200/A2C1,OK
3,Test_2025_01_16_7524,7524,164,Test#A3-0000003,CU/BALL/500/BC1C2,Test#B3-0000003,CU/BALL/500/BC1C2,OK
4,Test_2025_01_16_7522,7522,166,Test#A4-0000004,CU/BALL/500/BC1C2,Test#B4-0000004,CU/BALL/500/BC1C2,OK
5,Test_2025_01_16_7718,7718,110,Test#A5-0000005,AL/BALL/1000/A1C1,Test#B5-0000005,AL/BALL/1000/A1C1,OK
6,Test_2025_01_16_7665,7665,122,Test#A6-0000006,SCRAP/SCRAP/7X7/B,Test#B6-0000006,SCRAP/SCRAP/7X7/B,OK
7,Test_2025_01_16_7635,7635,180,Test#A7-0000007,AL/BALL/1200/A1C1,Test#B7-0000007,AL/BALL/1200/A1C1,OK
8,Test_2025_01_16_7632,7632,196,Test#A8-0000008,AL/BALL/1200/A1C1,Test#B8-0000008,AL/BALL/1200/A1C1,OK
9,Test_2025_01_16_7541,7541,150,Test#A1-0000009,SUS/BALL/500/BC1C2,Test#B1-0000009,SUS/BALL/500/BC1C2,OK
10,Test_2025_01_16_7661,7661,125,Test#A2-0000010,SCRAP/SCRAP/7X7/B,Test#B2-0000010,SCRAP/SCRAP/7X7/B,OK
11,Test_2025_01_16_7636,7636,181,Test#A3-0000011,AL/BALL/1200/A1C1,Test#B3-0000011,AL/BALL/1200/A1C1,OK
12,Test_2025_01_16_7755,7755,101,Test#A4-0000012,CU/BALL/500/A2C1,Test#B4-0000012,CU/BALL/500/A2C1,OK
13,Test_2025_01_16_7717,7717,264,Test#A5-0000013,AL/BALL/1000/A1C1,Test#B5-0000013,AL/BALL/1000/A1C1,OK
14,Test_2025_01_16_7604,7604,262,Test#A6-0000014,AL/BALL/1000/A1C1,Test#B6-0000014,AL/BALL/1000/A1C1,OK
15,Test_2025_01_16_7610,7610,204,Test#A7-0000015,AL/BALL/1000/A2C1,Test#B7-0000015,AL/BALL/1000/A2C1,OK
16,Test_2025_01_16_7545,7545,148,Test#A8-0000016,AL/BALL/1000/BC1,Test#B8-0000016,AL/BALL/1000/BC1,OK
17,Test_2025_01_16_7714,7714,263,Test#A1-0000017,AL/BALL/1000/A1C1,Test#B1-0000017,AL/BALL/1000/A1C1,OK
18,Test_2025_01_16_7700,7700,5,Test#A2-0000018,SCRAP/SCRAP/6X6/A1,Test#B2-0000018,SCRAP/SCRAP/6X6/A1,OK
19,Test_2025_01_16_7689,7689,15,Test#A3-0000019,SCRAP/SCRAP/6X6/A2,Test#B3-0000019,SCRAP/SCRAP/6X6/A2,OK
20,Test_2025_01_16_7739,7739,247,Test#A4-0000020,SUS/BALL/400/A2C1C2,Test#B4-0000020,SUS/BALL/400/A2C1C2,OK
21,Test_2025_01_16_7528,7528,251,Test#A5-0000021,SUS/BALL/400/BC1C2,Test#B5-0000021,SUS/BALL/400/BC1C2,OK
22,Test_2025_01_16_7532,7532,159,Test#A6-0000022,SUS/BALL/400/BC1C2,Test#B6-0000022,SUS/BALL/400/BC1C2,OK
23,Test_2025_01_16_7749,7749,63,Test#A7-0000023,SUS/BALL/400/A1C1,Test#B7-0000023,SUS/BALL/400/A1C1,OK
