storage_number,cell_barcode
Test#A1-0000001,Test_2025_01_16_7517
Test#B1-0000001,Test_2025_01_16_7517
Test#A2-0000002,Test_2025_01_16_7628
Test#B2-0000002,Test_2025_01_16_7628
Test#A3-0000003,Test_2025_01_16_7524
Test#B3-0000003,Test_2025_01_16_7524
Test#A4-0000004,Test_2025_01_16_7522
Test#B4-0000004,Test_2025_01_16_7522
Test#A5-0000005,Test_2025_01_16_7718
Test#B5-0000005,Test_2025_01_16_7718
Test#A6-0000006,Test_2025_01_16_7665
Test#B6-0000006,Test_2025_01_16_7665
Test#A7-0000007,Test_2025_01_16_7635
Test#B7-0000007,Test_2025_01_16_7635
Test#A8-0000008,Test_2025_01_16_7632
Test#B8-0000008,Test_2025_01_16_7632
Test#A1-0000009,Test_2025_01_16_7541
Test#B1-0000009,Test_2025_01_16_7541
Test#A2-0000010,Test_2025_01_16_7661
Test#B2-0000010,Test_2025_01_16_7661
Test#A3-0000011,Test_2025_01_16_7636
Test#B3-0000011,Test_2025_01_16_7636
Test#A4-0000012,Test_2025_01_16_7755
Test#B4-0000012,Test_2025_01_16_7755
Test#A5-0000013,Test_2025_01_16_7717
Test#B5-0000013,Test_2025_01_16_7717
Test#A6-0000014,Test_2025_01_16_7604
Test#B6-0000014,Test_2025_01_16_7604
Test#A7-0000015,Test_2025_01_16_7610
Test#B7-0000015,Test_2025_01_16_7610
Test#A8-0000016,Test_2025_01_16_7545
Test#B8-0000016,Test_2025_01_16_7545
Test#A1-0000017,Test_2025_01_16_7714
Test#B1-0000017,Test_2025_01_16_7714
Test#A2-0000018,Test_2025_01_16_7700
Test#B2-0000018,Test_2025_01_16_7700
Test#A3-0000019,Test_2025_01_16_7689
Test#B3-0000019,Test_2025_01_16_7689
Test#A4-0000020,Test_2025_01_16_7739
Test#B4-0000020,Test_2025_01_16_7739
Test#A5-0000021,Test_2025_01_16_7528
Test#B5-0000021,Test_2025_01_16_7528
Test#A6-0000022,Test_2025_01_16_7532
Test#B6-0000022,Test_2025_01_16_7532
Test#A7-0000023,Test_2025_01_16_7749
Test#B7-0000023,Test_2025_01_16_7749
Test#A8-0000024,Test_2025_01_16_7736
Test#B8-0000024,Test_2025_01_16_7736
Test#A1-0000025,Test_2025_01_16_7742
Test#B1-0000025,Test_2025_01_16_7742
Test#A2-0000026,Test_2025_01_16_7696
Test#B2-0000026,Test_2025_01_16_7696
Test#A3-0000027,Test_2025_01_16_7551
Test#B3-0000027,Test_2025_01_16_7551
Test#A4-0000028,Test_2025_01_16_7701
Test#B4-0000028,Test_2025_01_16_7701
Test#A5-0000029,Test_2025_01_16_7676
Test#B5-0000029,Test_2025_01_16_7676
Test#A6-0000030,Test_2025_01_16_7675
Test#B6-0000030,Test_2025_01_16_7675
Test#A7-0000031,Test_2025_01_16_7531
Test#B7-0000031,Test_2025_01_16_7531
Test#A8-0000032,Test_2025_01_16_7747
Test#B8-0000032,Test_2025_01_16_7747
Test#A1-0000033,Test_2025_01_16_7772
Test#B1-0000033,Test_2025_01_16_7772
Test#A2-0000034,Test_2025_01_16_7752
Test#B2-0000034,Test_2025_01_16_7752
Test#A3-0000035,Test_2025_01_16_7765
Test#B3-0000035,Test_2025_01_16_7765
Test#A4-0000036,Test_2025_01_16_7781
Test#B4-0000036,Test_2025_01_16_7781
Test#A5-0000037,Test_2025_01_16_7679
Test#B5-0000037,Test_2025_01_16_7679
Test#A6-0000038,Test_2025_01_16_7557
Test#B6-0000038,Test_2025_01_16_7557
Test#A7-0000039,Test_2025_01_16_7760
Test#B7-0000039,Test_2025_01_16_7760
Test#A8-0000040,Test_2025_01_16_7770
Test#B8-0000040,Test_2025_01_16_7770
Test#A1-0000041,Test_2025_01_16_7663
Test#B1-0000041,Test_2025_01_16_7663
Test#A2-0000042,Test_2025_01_16_7626
Test#B2-0000042,Test_2025_01_16_7626
Test#A3-0000043,Test_2025_01_16_7705
Test#B3-0000043,Test_2025_01_16_7705
Test#A4-0000044,Test_2025_01_16_7711
Test#B4-0000044,Test_2025_01_16_7711
Test#A5-0000045,Test_2025_01_16_7674
Test#B5-0000045,Test_2025_01_16_7674
Test#A6-0000046,Test_2025_01_16_7640
Test#B6-0000046,Test_2025_01_16_7640
Test#A7-0000047,Test_2025_01_16_7567
Test#B7-0000047,Test_2025_01_16_7567
Test#A8-0000048,Test_2025_01_16_7697
Test#B8-0000048,Test_2025_01_16_7697
Test#A1-0000049,Test_2025_01_16_7625
Test#B1-0000049,Test_2025_01_16_7625
Test#A2-0000050,Test_2025_01_16_7613
Test#B2-0000050,Test_2025_01_16_7613
Test#A3-0000051,Test_2025_01_16_7694
Test#B3-0000051,Test_2025_01_16_7694
Test#A4-0000052,Test_2025_01_16_7511
Test#B4-0000052,Test_2025_01_16_7511
Test#A5-0000053,Test_2025_01_16_7633
Test#B5-0000053,Test_2025_01_16_7633
Test#A6-0000054,Test_2025_01_16_7764
Test#B6-0000054,Test_2025_01_16_7764
Test#A7-0000055,Test_2025_01_16_7702
Test#B7-0000055,Test_2025_01_16_7702
Test#A8-0000056,Test_2025_01_16_7588
Test#B8-0000056,Test_2025_01_16_7588
Test#A1-0000057,Test_2025_01_16_7782
Test#B1-0000057,Test_2025_01_16_7782
Test#A2-0000058,Test_2025_01_16_7612
Test#B2-0000058,Test_2025_01_16_7612
Test#A3-0000059,Test_2025_01_16_7712
Test#B3-0000059,Test_2025_01_16_7712
Test#A4-0000060,Test_2025_01_16_7686
Test#B4-0000060,Test_2025_01_16_7686
Test#A5-0000061,Test_2025_01_16_7589
Test#B5-0000061,Test_2025_01_16_7589
Test#A6-0000062,Test_2025_01_16_7602
Test#B6-0000062,Test_2025_01_16_7602
Test#A7-0000063,Test_2025_01_16_7526
Test#B7-0000063,Test_2025_01_16_7526
Test#A8-0000064,Test_2025_01_16_7729
Test#B8-0000064,Test_2025_01_16_7729
Test#A1-0000065,Test_2025_01_16_7530
Test#B1-0000065,Test_2025_01_16_7530
Test#A2-0000066,Test_2025_01_16_7735
Test#B2-0000066,Test_2025_01_16_7735
