storage_number,cell_barcode,barcode,cell,material,match_status
Test#A3-0000043,Test_2025_01_16_7705,7705,2,SCRAP6,OK
Test#B3-0000043,Test_2025_01_16_7705,7705,2,SCRAP6,OK
Test#A7-0000055,Test_2025_01_16_7702,7702,3,SCRAP6,OK
Test#B7-0000055,Test_2025_01_16_7702,7702,3,SCRAP6,OK
Test#A2-0000018,Test_2025_01_16_7700,7700,5,SCRAP6,OK
Test#B2-0000018,Test_2025_01_16_7700,7700,5,SCRAP6,OK
Test#A1-0000137,Test_2025_01_16_7695,7695,6,SCRAP6,OK
Test#B1-0000137,Test_2025_01_16_7695,7695,6,SCRAP6,OK
Test#A3-0000051,Test_2025_01_16_7694,7694,11,SCRAP6,OK
Test#B3-0000051,Test_2025_01_16_7694,7694,11,SCRAP6,OK
Test#A1-0000081,Test_2025_01_16_7691,7691,12,SCRAP6,OK
Test#B1-0000081,Test_2025_01_16_7691,7691,12,SCRAP6,OK
Test#A8-0000048,Test_2025_01_16_7697,7697,13,SCRAP6,OK
Test#B8-0000048,Test_2025_01_16_7697,7697,13,SCRAP6,OK
Test#A6-0000134,Test_2025_01_16_7687,7687,14,SCRAP6,OK
Test#B6-0000134,Test_2025_01_16_7687,7687,14,SCRAP6,OK
Test#A3-0000019,Test_2025_01_16_7689,7689,15,SCRAP6,OK
Test#B3-0000019,Test_2025_01_16_7689,7689,15,SCRAP6,OK
Test#A4-0000060,Test_2025_01_16_7686,7686,16,SCRAP6,OK
Test#B4-0000060,Test_2025_01_16_7686,7686,16,SCRAP6,OK
Test#A1-0000097,Test_2025_01_16_7685,7685,17,SCRAP6,OK
Test#B1-0000097,Test_2025_01_16_7685,7685,17,SCRAP6,OK
Test#A7-0000095,Test_2025_01_16_7684,7684,19,SCRAP6,OK
Test#B7-0000095,Test_2025_01_16_7684,7684,19,SCRAP6,OK
Test#A5-0000037,Test_2025_01_16_7679,7679,21,SCRAP6,OK
Test#B5-0000037,Test_2025_01_16_7679,7679,21,SCRAP6,OK
Test#A5-0000045,Test_2025_01_16_7674,7674,24,SCRAP7,OK
Test#B5-0000045,Test_2025_01_16_7674,7674,24,SCRAP7,OK
Test#A6-0000078,Test_2025_01_16_7672,7672,25,SCRAP7,OK
Test#B6-0000078,Test_2025_01_16_7672,7672,25,SCRAP7,OK
Test#A3-0000091,Test_2025_01_16_7673,7673,26,SCRAP7,OK
Test#B3-0000091,Test_2025_01_16_7673,7673,26,SCRAP7,OK
Test#A6-0000094,Test_2025_01_16_7671,7671,27,SCRAP7,OK
Test#B6-0000094,Test_2025_01_16_7671,7671,27,SCRAP7,OK
Test#A2-0000090,Test_2025_01_16_7670,7670,28,SCRAP7,OK
Test#B2-0000090,Test_2025_01_16_7670,7670,28,SCRAP7,OK
Test#A6-0000142,Test_2025_01_16_7667,7667,29,SCRAP7,OK
Test#B6-0000142,Test_2025_01_16_7667,7667,29,SCRAP7,OK
Test#A5-0000077,Test_2025_01_16_7668,7668,31,SCRAP7,OK
Test#B5-0000077,Test_2025_01_16_7668,7668,31,SCRAP7,OK
Test#A5-0000085,Test_2025_01_16_7723,7723,35,SUS500,OK
Test#B5-0000085,Test_2025_01_16_7723,7723,35,SUS500,OK
Test#A3-0000123,Test_2025_01_16_7725,7725,39,SUS500,OK
Test#B3-0000123,Test_2025_01_16_7725,7725,39,SUS500,OK
Test#A2-0000066,Test_2025_01_16_7735,7735,41,SUS500,OK
Test#B2-0000066,Test_2025_01_16_7735,7735,41,SUS500,OK
Test#A8-0000064,Test_2025_01_16_7729,7729,45,SUS500,OK
Test#B8-0000064,Test_2025_01_16_7729,7729,45,SUS500,OK
Test#A4-0000084,Test_2025_01_16_7730,7730,46,SUS500,OK
Test#B4-0000084,Test_2025_01_16_7730,7730,46,SUS500,OK
Test#A4-0000044,Test_2025_01_16_7711,7711,48,AL_A_1000,OK
Test#B4-0000044,Test_2025_01_16_7711,7711,48,AL_A_1000,OK
Test#A8-0000024,Test_2025_01_16_7736,7736,51,SUS400,OK
Test#B8-0000024,Test_2025_01_16_7736,7736,51,SUS400,OK
Test#A1-0000025,Test_2025_01_16_7742,7742,55,SUS400,OK
Test#B1-0000025,Test_2025_01_16_7742,7742,55,SUS400,OK
Test#A3-0000099,Test_2025_01_16_7710,7710,56,AL_A_1000,OK
Test#B3-0000099,Test_2025_01_16_7710,7710,56,AL_A_1000,OK
Test#A1-0000089,Test_2025_01_16_7716,7716,57,AL_A_1000,OK
Test#B1-0000089,Test_2025_01_16_7716,7716,57,AL_A_1000,OK
Test#A8-0000080,Test_2025_01_16_7709,7709,58,AL_A_1000,OK
Test#B8-0000080,Test_2025_01_16_7709,7709,58,AL_A_1000,OK
Test#A7-0000023,Test_2025_01_16_7749,7749,63,SUS400,OK
Test#B7-0000023,Test_2025_01_16_7749,7749,63,SUS400,OK
Test#A1-0000057,Test_2025_01_16_7782,7782,81,CU400,OK
Test#B1-0000057,Test_2025_01_16_7782,7782,81,CU400,OK
Test#A4-0000036,Test_2025_01_16_7781,7781,82,CU400,OK
Test#B4-0000036,Test_2025_01_16_7781,7781,82,CU400,OK
Test#A3-0000107,Test_2025_01_16_7780,7780,83,CU400,OK
Test#B3-0000107,Test_2025_01_16_7780,7780,83,CU400,OK
Test#A5-0000093,Test_2025_01_16_7768,7768,85,CU400,OK
Test#B5-0000093,Test_2025_01_16_7768,7768,85,CU400,OK
Test#A4-0000092,Test_2025_01_16_7769,7769,86,CU400,OK
Test#B4-0000092,Test_2025_01_16_7769,7769,86,CU400,OK
Test#A8-0000040,Test_2025_01_16_7770,7770,87,CU400,OK
Test#B8-0000040,Test_2025_01_16_7770,7770,87,CU400,OK
Test#A2-0000098,Test_2025_01_16_7771,7771,88,CU400,OK
Test#B2-0000098,Test_2025_01_16_7771,7771,88,CU400,OK
Test#A1-0000033,Test_2025_01_16_7772,7772,89,CU400,OK
Test#B1-0000033,Test_2025_01_16_7772,7772,89,CU400,OK
Test#A7-0000039,Test_2025_01_16_7760,7760,90,CU500,OK
Test#B7-0000039,Test_2025_01_16_7760,7760,90,CU500,OK
Test#A1-0000073,Test_2025_01_16_7762,7762,92,CU500,OK
Test#B1-0000073,Test_2025_01_16_7762,7762,92,CU500,OK
Test#A7-0000103,Test_2025_01_16_7763,7763,93,CU500,OK
Test#B7-0000103,Test_2025_01_16_7763,7763,93,CU500,OK
Test#A6-0000054,Test_2025_01_16_7764,7764,94,CU500,OK
Test#B6-0000054,Test_2025_01_16_7764,7764,94,CU500,OK
Test#A6-0000086,Test_2025_01_16_7767,7767,95,CU500,OK
Test#B6-0000086,Test_2025_01_16_7767,7767,95,CU500,OK
Test#A5-0000101,Test_2025_01_16_7766,7766,96,CU500,OK
Test#B5-0000101,Test_2025_01_16_7766,7766,96,CU500,OK
Test#A3-0000035,Test_2025_01_16_7765,7765,97,CU500,OK
Test#B3-0000035,Test_2025_01_16_7765,7765,97,CU500,OK
Test#A2-0000034,Test_2025_01_16_7752,7752,98,CU500,OK
Test#B2-0000034,Test_2025_01_16_7752,7752,98,CU500,OK
Test#A7-0000079,Test_2025_01_16_7753,7753,99,CU500,OK
Test#B7-0000079,Test_2025_01_16_7753,7753,99,CU500,OK
Test#A3-0000115,Test_2025_01_16_7754,7754,100,CU500,OK
Test#B3-0000115,Test_2025_01_16_7754,7754,100,CU500,OK
Test#A4-0000012,Test_2025_01_16_7755,7755,101,CU500,OK
Test#B4-0000012,Test_2025_01_16_7755,7755,101,CU500,OK
Test#A8-0000120,Test_2025_01_16_7756,7756,102,CU500,OK
Test#B8-0000120,Test_2025_01_16_7756,7756,102,CU500,OK
